Season,Total,Home ,Away ,Scored ,NotScored
1993,61,45,16,57,4
1994,82,50,32,80,2
1995,69,40,29,65,4
1996,55,34,21,52,3
1997,64,48,16,61,3
1998,61,44,17,57,4
1999,53,32,21,48,5
2000,66,42,24,64,2
2001,57,37,20,52,5
2002,52,25,27,47,5
2003,64,40,24,55,9
2004,79,54,25,66,13
2005,74,42,32,62,12
2006,73,49,24,56,17
2007,105,64,41,84,21
2008,82,51,31,61,21
2009,83,58,25,67,16
2010,106,68,38,85,21
2011,101,62,39,79,22
2012,99,58,41,71,28
2013,83,53,30,66,17
2014,87,48,39,73,14
2015,83,51,32,63,20
2016,91,53,38,74,17
2017,106,66,40,81,25
2018,80,51,29,56,24